t0	tf	lft
150	215	66
81	81	1
272	303	32
213	240	28
18	23	6
16	109	94
94	169	76
266	303	38
26	121	96
83	83	1
60	111	52
28	243	216
205	205	1
204	241	38
46	242	197
37	241	205
124	174	51
232	241	10
150	243	94
58	127	70
278	297	20
243	243	1
139	139	1
144	280	137
118	118	1
24	24	1
64	245	182
111	112	2
155	235	81
51	91	41
152	155	4
121	121	1
121	154	34
116	291	176
24	234	211
159	208	50
150	242	93
76	76	1
124	124	1
121	181	61
80	121	42
3	24	22
211	286	76
155	155	1
92	161	70
198	280	83
30	182	153
124	285	162
15	18	4
73	291	219
265	291	27
83	198	116
88	302	215
302	302	1
67	277	211
54	298	245
56	290	235
41	70	30
65	70	6
155	184	30
69	84	16
147	168	22
37	192	156
69	189	121
67	290	224
39	282	244
63	302	240
164	187	24
123	125	3
40	278	239
70	198	129
104	259	156
205	208	4
29	283	255
135	268	134
80	296	217
91	287	197
94	174	81
91	91	1
74	155	82
62	78	17
104	104	1
143	303	161
43	274	232
278	278	1
290	291	2
190	212	23
39	262	224
211	247	37
211	211	1
46	131	86
86	193	108
94	107	14
129	130	2
127	267	141
177	177	1
87	253	167
229	270	42
176	176	1
175	227	53
281	282	2
281	282	2
136	136	1
39	261	223
92	98	7
69	131	63
23	166	144
23	71	49
272	273	2
106	120	15
53	80	28
41	41	1
96	215	120
71	257	187
193	286	94
166	177	12
101	117	17
24	248	225
51	108	58
165	165	1
187	187	1
24	271	248
23	23	1
191	192	2
259	270	12
46	62	17
152	152	1
284	302	19
138	138	1
40	40	1
20	22	3
231	231	1
282	282	1
26	42	17
18	33	16
